scenario_id,scenario_family,ego_speed_kmh,target_distance_m,relative_speed_kmh,road_condition,mu,actuator_delay_s,target_type,expected_state,odd_status,stopping_distance_m,ttc_s,calculated_state,brake_request,verification_result,verification_comment
P-SCN-100,SUDDEN_OBSTACLE,50,10.149,50,dry,0.75,0.1,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,14.498,0.731,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-101,NORMAL_FOLLOWING,50,39.717,5,dry,0.75,0.2,lead_vehicle,SAFE,inside_ODD,15.887,28.596,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-102,CLOSE_TARGET,50,18.27,18.27,dry,0.75,0.2,lead_vehicle,CAUTION,inside_ODD,15.887,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-103,HIGH_CLOSING_RISK,50,15.093,27.167,dry,0.75,0.2,lead_vehicle,WARNING,inside_ODD,15.887,2,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-104,SUDDEN_OBSTACLE,50,11.121,50,dry,0.75,0.2,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,15.887,0.801,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-105,NORMAL_FOLLOWING,50,43.19,5,dry,0.75,0.3,lead_vehicle,SAFE,inside_ODD,17.276,31.097,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-106,CLOSE_TARGET,50,19.867,19.867,dry,0.75,0.3,lead_vehicle,CAUTION,inside_ODD,17.276,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-107,HIGH_CLOSING_RISK,50,16.412,29.542,dry,0.75,0.3,lead_vehicle,WARNING,inside_ODD,17.276,2,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-108,SUDDEN_OBSTACLE,50,12.093,50,dry,0.75,0.3,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,17.276,0.871,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-109,NORMAL_FOLLOWING,50,58.094,5,wet,0.45,0.1,lead_vehicle,SAFE,inside_ODD,23.237,41.828,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-110,CLOSE_TARGET,50,26.723,20,wet,0.45,0.1,lead_vehicle,CAUTION,inside_ODD,23.237,4.81,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-111,HIGH_CLOSING_RISK,50,22.076,35,wet,0.45,0.1,lead_vehicle,WARNING,inside_ODD,23.237,2.271,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-112,SUDDEN_OBSTACLE,50,16.266,50,wet,0.45,0.1,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,23.237,1.171,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-113,NORMAL_FOLLOWING,50,61.566,5,wet,0.45,0.2,lead_vehicle,SAFE,inside_ODD,24.626,44.328,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-114,CLOSE_TARGET,50,28.32,20,wet,0.45,0.2,lead_vehicle,CAUTION,inside_ODD,24.626,5.098,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-115,HIGH_CLOSING_RISK,50,23.395,35,wet,0.45,0.2,lead_vehicle,WARNING,inside_ODD,24.626,2.406,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-116,SUDDEN_OBSTACLE,50,17.238,50,wet,0.45,0.2,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,24.626,1.241,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-117,NORMAL_FOLLOWING,50,65.038,5,wet,0.45,0.3,lead_vehicle,SAFE,inside_ODD,26.015,46.827,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-118,CLOSE_TARGET,50,29.918,20,wet,0.45,0.3,lead_vehicle,CAUTION,inside_ODD,26.015,5.385,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-119,HIGH_CLOSING_RISK,50,24.714,35,wet,0.45,0.3,lead_vehicle,WARNING,inside_ODD,26.015,2.542,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-120,SUDDEN_OBSTACLE,50,18.211,50,wet,0.45,0.3,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,26.015,1.311,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
